village_code,api_village_name,diskominfo_village_name,odj_village_name,api_postal_code,diskominfo_postal_code,odj_postal_code,diskominfo_vs_open_data_jabar,api_vs_diskominfo,api_vs_odj,comparison_status,postal_review_required,name_difference,note
32.01.05.2003,Sentul,SENTUL,SENTUL,16810,16863,16810,different,different,match,api_matches_odj,yes,no,
32.01.05.2004,Karangtengah (Karang Tengah),KARANGTENGAH,KARANGTENGAH,16810,16867,16810,different,different,match,api_matches_odj,yes,yes,
32.01.05.2005,Cipambuan,CIPAMBUAN,CIPAMBUAN,16810,16869,16810,different,different,match,api_matches_odj,yes,no,
32.01.05.2006,Kadumanggu (Kadumangu),KADUMANGGU,KADUMANGGU,16810,16868,16810,different,different,match,api_matches_odj,yes,yes,
32.01.05.2007,Citaringgul,CITARINGGUL,CITARINGGUL,16810,16862,16810,different,different,match,api_matches_odj,yes,no,
32.01.05.2008,Babakan Madang,BABAKAN MADANG,BABAKAN MADANG,16810,16861,16810,different,different,match,api_matches_odj,yes,no,
32.01.05.2009,Bojong Koneng,BOJONG KONENG,BOJONG KONENG,16810,16865,16810,different,different,match,api_matches_odj,yes,no,
32.01.06.2001,Sukamaju,SUKAMAJU,SUKAMAJU,16830,16832,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2002,Sirnagalih,SIRNAGALIH,SIRNAGALIH,16830,16839,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2003,Singajaya,SINGAJAYA,SINGAJAYA,16830,16834,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2004,Sukasirna,SUKASIRNA,SUKASIRNA,16830,16837,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2005,Sukanegara,SUKANEGARA,SUKANEGARA,16830,16836,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2006,Sukamanah,SUKAMANAH,SUKAMANAH,16830,16832,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2007,Weninggalih,WENINGGALIH,WENINGGALIH,16830,16839,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2008,Cibodas,CIBODAS,CIBODAS,16830,16835,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2009,Jonggol,JONGGOL,JONGGOL,16830,16839,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2010,Bendungan,BENDUNGAN,BENDUNGAN,16830,16838,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2011,Singasari,SINGASARI,SINGASARI,16830,16833,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2012,Balekambang,BALEKAMBANG,BALEKAMBANG,16830,16837,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2013,Sukajaya,SUKAJAYA,SUKAJAYA,16830,16836,16830,different,different,match,api_matches_odj,yes,no,
32.01.06.2014,Sukagalih,SUKAGALIH,SUKAGALIH,16830,16839,16830,different,different,match,api_matches_odj,yes,no,
32.01.07.2001,Pasirangin (Pasir Angin),PASIRANGIN,PASIRANGIN,16820,16828,16820,different,different,match,api_matches_odj,yes,yes,
32.01.07.2002,Mekarsari,MEKARSARI,MEKARSARI,16820,16826,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2003,Mampir,MAMPIR,MAMPIR,16820,16823,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2004,Dayeuh,DAYEUH,DAYEUH,16820,16822,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2005,Gandoang,GANDOANG,GANDOANG,16820,16824,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2006,Jatisari,JATISARI,JATISARI,16820,16825,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2007,Cileungsi Kidul,CILEUNGSI KIDUL,CILEUNGSI KIDUL,16820,16821,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2008,Cipeucang,CIPEUCANG,CIPEUCANG,16820,16825,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2009,Situsari (Setu Sari),SITUSARI,SITUSARI,16820,16824,,diskominfo_only,different,source_postal_missing,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.07.2010,Cipenjo,CIPENJO,CIPENJO,16820,16827,16820,different,different,match,api_matches_odj,yes,no,
32.01.07.2012,Cileungsi,CILEUNGSI,CILEUNGSI,16820,16821,16820,different,different,match,api_matches_odj,yes,no,
32.01.08.2001,Karyamekar (Karya Mekar),KARYAMEKAR,KARYAMEKAR,16840,16843,16840,different,different,match,api_matches_odj,yes,yes,
32.01.08.2002,Babakanraden (Babakan Raden),BABAKANRADEN,BABAKANRADEN,16840,16848,16840,different,different,match,api_matches_odj,yes,yes,
32.01.08.2003,Cikutamahi,CIKUTAMAHI,CIKUTAMAHI,16840,16845,16840,different,different,match,api_matches_odj,yes,no,
32.01.08.2005,Cariu,CARIU,CARIU,16840,16841,16840,different,different,match,api_matches_odj,yes,no,
32.01.08.2006,Mekarwangi,MEKARWANGI,MEKARWANGI,16840,16842,16840,different,different,match,api_matches_odj,yes,no,
32.01.08.2007,Bantarkuning (Bantar Kuning),BANTARKUNING,BANTARKUNING,16840,16844,16840,different,different,match,api_matches_odj,yes,yes,
32.01.08.2008,Sukajadi,SUKAJADI,SUKAJADI,16840,16847,16840,different,different,match,api_matches_odj,yes,no,
32.01.08.2009,Tegalpanjang (Tegal Panjang),TEGALPANJANG,TEGALPANJANG,16840,16849,16840,different,different,match,api_matches_odj,yes,yes,
32.01.08.2010,Cibatutiga (Cibatu Tiga),CIBATUTIGA,CIBATUTIGA,16840,16844,16840,different,different,match,api_matches_odj,yes,yes,
32.01.09.2001,Wargajaya,WARGAJAYA,WARGAJAYA,16831,16883,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2002,Pabuaran,PABUARAN,PABUARAN,16831,16888,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2003,Sukadamai,SUKADAMAI,SUKADAMAI,16831,16886,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2004,Sukawangi,SUKAWANGI,SUKAWANGI,16831,16884,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2005,Cibadak,CIBADAK,CIBADAK,16831,16882,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2006,Sukaresmi,SUKARESMI,SUKARESMI,16831,16887,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2007,Sukamulya,SUKAMULYA,SUKAMULYA,16831,16889,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2008,Sukaharja,SUKAHARJA,SUKAHARJA,16831,16885,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2009,Sirnajaya,SIRNAJAYA,SIRNAJAYA,16831,16883,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.09.2010,Sukamakmur,SUKAMAKMUR,SUKAMAKMUR,16831,16881,16830,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.10.2001,Parung,PARUNG,PARUNG,16330,16331,16330,different,different,match,api_matches_odj,yes,no,
32.01.10.2002,Iwul,IWUL,IWUL,16330,16337,16330,different,different,match,api_matches_odj,yes,no,
32.01.10.2003,Bojongsempu (Bojong Sempu),BOJONGSEMPU,BOJONGSEMPU,16330,16336,16330,different,different,match,api_matches_odj,yes,yes,
32.01.10.2004,Waru,WARU,WARU,16330,16336,16330,different,different,match,api_matches_odj,yes,no,
32.01.10.2005,Cogreg,COGREG,COGREG,16330,16334,16330,different,different,match,api_matches_odj,yes,no,
32.01.10.2006,Pamegarsari (Pamagersari),PAMEGARSARI,PAMEGARSARI,16330,16331,16339,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.10.2007,Warujaya,WARUJAYA,WARUJAYA,16330,16333,16330,different,different,match,api_matches_odj,yes,no,
32.01.10.2008,Bojongindah (Bojong Indah),BOJONGINDAH,BOJONGINDAH,16330,16336,16330,different,different,match,api_matches_odj,yes,yes,
32.01.10.2009,Jabonmekar (Jabon Mekar),JABONMEKAR,JABONMEKAR,16330,16338,16330,different,different,match,api_matches_odj,yes,yes,
32.01.11.2001,Cidokom,CIDOKOM,CIDOKOM,16340,16343,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2002,Padurenan,PADURENAN,PADURENAN,16340,16348,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2003,Pengasinan,PENGASINAN,PENGASINAN,16340,16346,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2004,Curug,CURUG,CURUG,16340,16344,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2005,Gunungsindur (Gunung Sindur),GUNUNGSINDUR,GUNUNGSINDUR,16340,16341,16340,different,different,match,api_matches_odj,yes,yes,
32.01.11.2006,Jampang,JAMPANG,JAMPANG,16340,16342,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2007,Cibadung,CIBADUNG,CIBADUNG,16340,16346,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2008,Cibinong,CIBINONG,CIBINONG,16340,16346,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2009,Rawakalong,RAWAKALONG,RAWAKALONG,16340,16347,16340,different,different,match,api_matches_odj,yes,no,
32.01.11.2010,Pabuaran,PABUARAN,PABUARAN,16340,16348,16340,different,different,match,api_matches_odj,yes,no,
32.01.12.1006,Atang Senjaya,ATANG SENJAYA,ATANG SENJAYA,16310,16318,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2001,Bojong,BOJONG,BOJONG,16310,16316,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2002,Parakanjaya (Parakan Jaya),PARAKANJAYA,PARAKANJAYA,16310,16319,16310,different,different,match,api_matches_odj,yes,yes,
32.01.12.2003,Kemang,KEMANG,KEMANG,16310,16311,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2004,Pabuaran,PABUARAN,PABUARAN,16310,16312,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2005,Semplak Barat,SEMPLAK BARAT,SEMPLAK BARAT,16310,16317,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2007,Jampang,JAMPANG,JAMPANG,16310,16314,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2008,Pondok Udik,PONDOK UDIK,PONDOK UDIK,16310,16313,16310,different,different,match,api_matches_odj,yes,no,
32.01.12.2009,Tegal,TEGAL,TEGAL,16310,16315,16310,different,different,match,api_matches_odj,yes,no,
32.01.13.2009,Bojonggede (Bojong Gede),BOJONGGEDE,BOJONGGEDE,16922,16925,16922,different,different,match,api_matches_odj,yes,yes,
32.01.14.2001,Leuwiliang,LEUWILIANG,LEUWILIANG,16640,16641,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2002,Purasari,PURASARI,PURASARI,16640,16644,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2003,Karyasari,KARYASARI,KARYASARI,16640,16646,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2004,Pabangbon,PABANGBON,PABANGBON,16640,16643,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2005,Karacak,KARACAK,KARACAK,16640,16646,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2006,Barengkok,BARENGKOK,BARENGKOK,16640,16647,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2007,Leuwimekar,LEUWIMEKAR,LEUWIMEKAR,16640,16648,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2008,Puraseda,PURASEDA,PURASEDA,16640,16645,16640,different,different,match,api_matches_odj,yes,no,
32.01.14.2011,Karehkel,KAREHKEL,KAREHKEL,16640,16649,16640,different,different,match,api_matches_odj,yes,no,
32.01.15.2001,Ciampea,CIAMPEA,CIAMPEA,16620,16625,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2002,Cinangka,CINANGKA,CINANGKA,16620,16626,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2003,Cihideungudik (Cihideung Udik),CIHIDEUNGUDIK,CIHIDEUNGUDIK,16620,16627,16620,different,different,match,api_matches_odj,yes,yes,
32.01.15.2004,Bojongjengkol (Bojong Jengkol),BOJONGJENGKOL,BOJONGJENGKOL,16620,16623,16620,different,different,match,api_matches_odj,yes,yes,
32.01.15.2005,Tegalwaru (Tegal Waru),TEGALWARU,TEGALWARU,16620,16623,16620,different,different,match,api_matches_odj,yes,yes,
32.01.15.2006,Cibuntu,CIBUNTU,CIBUNTU,16620,16624,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2007,Cicadas,CICADAS,CICADAS,16620,16622,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2008,Cibadak,CIBADAK,CIBADAK,16620,16628,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2009,Bojongrangkas (Bojong Rangkas),BOJONGRANGKAS,BOJONGRANGKAS,16620,16621,16620,different,different,match,api_matches_odj,yes,yes,
32.01.15.2010,Cihideunghilir (Cihideung Ilir),CIHIDEUNGHILIR,CIHIDEUNGHILIR,16620,16627,16620,different,different,match,api_matches_odj,yes,yes,
32.01.15.2011,Cibanteng,CIBANTENG,CIBANTENG,16620,16628,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2012,Benteng,BENTENG,BENTENG,16620,16629,16620,different,different,match,api_matches_odj,yes,no,
32.01.15.2013,Ciampea Udik,CIAMPEA UDIK,CIAMPEA UDIK,16620,16625,16620,different,different,match,api_matches_odj,yes,no,
32.01.16.2001,Situ Udik,SITU UDIK,SITU UDIK,16630,16636,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2002,Situ Ilir,SITU ILIR,SITU ILIR,16630,16636,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2003,Cemplang,CEMPLANG,CEMPLANG,16630,16633,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2006,Leuweungkolot (Leuweung Kolot),LEUWEUNGKOLOT,LEUWEUNGKOLOT,16630,16638,16630,different,different,match,api_matches_odj,yes,yes,
32.01.16.2009,Dukuh,DUKUH,DUKUH,16630,16632,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2010,Cijujung,CIJUJUNG,CIJUJUNG,16630,16639,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2013,Sukamaju,SUKAMAJU,SUKAMAJU,16630,16634,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2014,Galuga,GALUGA,GALUGA,16630,16632,16630,different,different,match,api_matches_odj,yes,no,
32.01.16.2015,Girimulya,GIRIMULYA,GIRIMULYA,16630,16638,16630,different,different,match,api_matches_odj,yes,no,
32.01.17.2001,Purwabakti,PURWABAKTI,PURWABAKTI,16812,16694,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2002,Cibunian,CIBUNIAN,CIBUNIAN,16812,16693,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2003,Cibitungwetan (Cibitung Wetan),CIBITUNGWETAN,CIBITUNGWETAN,16812,16692,16810,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.17.2004,Gunungmenyan (Gunung Menyan),GUNUNGMENYAN,GUNUNGMENYAN,16812,16699,16810,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.17.2006,Pasarean,PASAREAN,PASAREAN,16812,16699,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2007,Cimayang,CIMAYANG,CIMAYANG,16812,16698,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2008,Pamijahan,PAMIJAHAN,PAMIJAHAN,16812,16691,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2009,Cibening,CIBENING,CIBENING,16812,16698,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2011,Cibitung Kulon,CIBITUNG KULON,CIBITUNG KULON,16812,16692,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2012,Gunung Picung,GUNUNG PICUNG,GUNUNG PICUNG,16812,16696,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2013,Ciasihan,CIASIHAN,CIASIHAN,16812,16695,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.17.2014,Gunungsari (Gunung Sari),GUNUNGSARI,GUNUNGSARI,16812,16696,16810,different,different,different,api_differs_available_sources,yes,yes,API postal code differs from every available source postal code.
32.01.17.2015,Ciasmara,CIASMARA,CIASMARA,16812,16695,16810,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.18.2001,Rumpin,RUMPIN,RUMPIN,16350,16351,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2002,Leuwibatu,LEUWIBATU,LEUWIBATU,16350,16357,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2003,Cidokom,CIDOKOM,CIDOKOM,16350,16358,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2004,Gobang,GOBANG,GOBANG,16350,16358,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2005,Cibodas,CIBODAS,CIBODAS,16350,16359,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2006,Rabak,RABAK,RABAK,16350,16356,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2007,Kampungsawah (Kampung Sawah),KAMPUNGSAWAH,KAMPUNGSAWAH,16350,16355,16350,different,different,match,api_matches_odj,yes,yes,
32.01.18.2008,Cipinang,CIPINANG,CIPINANG,16350,16355,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2009,Sukasari,SUKASARI,SUKASARI,16350,16352,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2012,Sukamulya,SUKAMULYA,SUKAMULYA,16350,16353,16350,different,different,match,api_matches_odj,yes,no,
32.01.18.2014,Mekarjaya,MEKARJAYA,MEKARJAYA,16350,16668,16350,different,different,match,api_matches_odj,yes,no,
32.01.19.2001,Curug,CURUG,CURUG,16670,16673,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2002,Pangradin,PANGRADIN,PANGRADIN,16670,16675,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2003,Kalongsawah,KALONGSAWAH,KALONGSAWAH,16670,16676,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2004,Sipak,SIPAK,SIPAK,16670,16677,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2005,Jasinga,JASINGA,JASINGA,16670,16676,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2006,Koleang,KOLEANG,KOLEANG,16670,16672,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2007,Cikopomayak,CIKOPOMAYAK,CIKOPOMAYAK,16670,16679,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2008,Setu,SETU,SETU,16670,16671,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2009,Barengkok,BARENGKOK,BARENGKOK,16670,16677,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2010,Bagoang,BAGOANG,BAGOANG,16670,16678,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2011,Pangaur,PANGAUR,PANGAUR,16670,16678,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2012,Pamagersari,PAMAGERSARI,PAMAGERSARI,16670,16676,16670,different,different,match,api_matches_odj,yes,no,
32.01.19.2013,Jugala Jaya,JUGALA JAYA,JUGALA JAYA,16670,16675,16674,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
32.01.19.2015,Neglasari,NEGLASARI,NEGLASARI,16670,16677,16670,different,different,match,api_matches_odj,yes,no,
32.01.20.2001,Jagabaya,JAGABAYA,JAGABAYA,16360,16365,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2002,Gorowong,GOROWONG,GOROWONG,16360,16366,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2003,Dago,DAGO,DAGO,16360,16367,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2004,Pingku,PINGKU,PINGKU,16360,16368,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2005,Cikuda,CIKUDA,CIKUDA,16360,16369,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2007,Lumpang,LUMPANG,LUMPANG,16360,16363,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2008,Cibunar,CIBUNAR,CIBUNAR,16360,16362,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2009,Jagabita,JAGABITA,JAGABITA,16360,16362,16360,different,different,match,api_matches_odj,yes,no,
32.01.20.2010,Gintungcilejet (Gintung Cilejet),GINTUNGCILEJET,GINTUNGCILEJET,16360,16364,16360,different,different,match,api_matches_odj,yes,yes,
32.01.20.2011,Kabasiran,KABASIRAN,KABASIRAN,16360,16369,16360,different,different,match,api_matches_odj,yes,no,
32.01.21.2001,Malasari,MALASARI,MALASARI,16650,16653,16650,different,different,match,api_matches_odj,yes,no,
32.01.21.2002,Curugbitung (Curug Bitung),CURUGBITUNG,CURUGBITUNG,16650,16655,16650,different,different,match,api_matches_odj,yes,yes,
32.01.21.2003,Cisarua,CISARUA,CISARUA,16650,16652,16650,different,different,match,api_matches_odj,yes,no,
32.01.21.2004,Bantarkaret (Bantar Karet),BANTARKARET,BANTARKARET,16650,16654,16650,different,different,match,api_matches_odj,yes,yes,
32.01.21.2005,Hambaro,HAMBARO,HAMBARO,16650,16656,16650,different,different,match,api_matches_odj,yes,no,
32.01.21.2006,Kalongliud (Kalong Liud),KALONGLIUD,KALONGLIUD,16650,16656,16650,different,different,match,api_matches_odj,yes,yes,
32.01.21.2007,Nanggung,NANGGUNG,NANGGUNG,16650,16651,16650,different,different,match,api_matches_odj,yes,no,
32.01.21.2008,Parakanmuncang (Parakan Muncang),PARAKANMUNCANG,PARAKANMUNCANG,16650,16657,16650,different,different,match,api_matches_odj,yes,yes,
32.01.21.2009,Pangkaljaya (Pangkal Jaya),PANGKALJAYA,PANGKALJAYA,16650,16659,16650,different,different,match,api_matches_odj,yes,yes,
32.01.21.2010,Sukaluyu,SUKALUYU,SUKALUYU,16650,16658,16650,different,different,match,api_matches_odj,yes,no,
32.01.21.2011,Batu Tulis,BATU TULIS,BATU TULIS,16650,16134,16657,different,different,different,api_differs_available_sources,yes,no,API postal code differs from every available source postal code.
