queue_rank,spotcheck_id,spotcheck_priority,impact_row_count,selection_reason,triplet_cluster_id,district_cluster_id,district_cluster_size,province_code,province_name,city_code,city_name,district_code,district_name,village_code,village_name,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,unresolved_pattern,search_term,search_context,official_search_url,review_status,official_postal_code,matched_sources,evidence_checked_at,evidence_url,review_note
1,POS-49F6B3040293,P0_missing_source,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A2DD5BB38B5B,DIST-8A10DCEBAD2D,10,32,JAWA BARAT,32.07,KAB. CIAMIS,32.07.37,BANJARANYAR,32.07.37.2001,PASAWAHAN,46283,,46384,open_data_jabar_missing_api_diskominfo_different,PASAWAHAN,PASAWAHAN | BANJARANYAR | KAB. CIAMIS | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,observed_matches_source,46283,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,Selected manual query 'PASAWAHAN'; official result row matched Pasawahan / Banjaranyar / Kab. Ciamis / Jawa Barat. Evidence remains on hold and is not promoted automatically.
12,POS-5C26FD543A24,P1_high_impact,15,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-ABA1659D31D7,DIST-338A783B18C4,15,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,32.09.18.2001,CEMPAKA,45655,45155,45158,all_three_different,CEMPAKA,CEMPAKA | PLUMBON | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,observed_matches_source,45655,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,Selected manual query 'CEMPAKA'; official result row matched Cempaka / Plumbon / Kab. Cirebon / Jawa Barat. Evidence remains on hold and is not promoted automatically.
13,POS-01950E439829,P1_high_impact,14,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-B11BD3083731,DIST-355F90E49129,14,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,32.06.01.2001,CIHERAS,46489,46189,46187,all_three_different,CIHERAS,CIHERAS | CIPATUJAH | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
14,POS-45CD8E848301,P1_high_impact,13,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-9AD2B5A28833,DIST-6769D730E200,13,32,JAWA BARAT,32.12,KAB. INDRAMAYU,32.12.30,TUKDANA,32.12.30.2001,BODAS,45276,45272,45270,all_three_different,BODAS,BODAS | TUKDANA | KAB. INDRAMAYU | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
15,POS-E433F58DFAD8,P1_high_impact,12,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-3887B8392F5D,DIST-E1DCABF29DB3,12,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.01,WALED,32.09.01.2008,WALED DESA,45687,45187,45180,all_three_different,WALED DESA,WALED DESA | WALED | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
16,POS-CFDB23092732,P1_high_impact,12,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8756886BCADF,DIST-9F3BF3F19334,12,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.17,PALIMANAN,32.09.17.2002,CILUKRAK,45661,45161,45160,all_three_different,CILUKRAK,CILUKRAK | PALIMANAN | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
17,POS-ACF9B23F4B39,P1_high_impact,12,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-42CA61EAE904,DIST-661E056571CE,12,32,JAWA BARAT,32.11,KAB. SUMEDANG,32.11.15,JATINANGOR,32.11.15.2001,CIKERUH,45367,45363,45360,all_three_different,CIKERUH,CIKERUH | JATINANGOR | KAB. SUMEDANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
18,POS-7140C3434DF4,P1_high_impact,11,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-387289D1FAF8,DIST-E9D8298D91DC,11,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.21,JAMPANGKULON,32.02.21.1001,JAMPANGKULON,43378,43178,43170,all_three_different,JAMPANGKULON,JAMPANGKULON | JAMPANGKULON | KAB. SUKABUMI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
19,POS-DD8F966A18FA,P1_high_impact,11,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-7F462FC25FB9,DIST-BF2A178CAD8D,11,32,JAWA BARAT,32.17,KAB. BANDUNG BARAT,32.17.11,CILILIN,32.17.11.2001,CILILIN,40762,40562,40567,all_three_different,CILILIN,CILILIN | CILILIN | KAB. BANDUNG BARAT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
20,POS-91970819F19D,P1_high_impact,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-9A082A033509,DIST-74661E876607,10,32,JAWA BARAT,32.03,KAB. CIANJUR,32.03.26,CIKADU,32.03.26.2001,KALAPANUNGGAL,43276,43284,43286,all_three_different,KALAPANUNGGAL,KALAPANUNGGAL | CIKADU | KAB. CIANJUR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
21,POS-8CEAE5C7936C,P1_high_impact,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-3570F4B33489,DIST-43B36823F8B0,10,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.19,JATIWARAS,32.06.19.2001,KAPUTIHAN,46491,46185,46180,all_three_different,KAPUTIHAN,KAPUTIHAN | JATIWARAS | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
22,POS-EF290DC9D616,P1_high_impact,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-E1B2DDFEDD1B,DIST-F78F139CEDDC,10,32,JAWA BARAT,32.10,KAB. MAJALENGKA,32.10.24,KASOKANDEL,32.10.24.2001,JATISAWIT,45477,45453,45451,all_three_different,JATISAWIT,JATISAWIT | KASOKANDEL | KAB. MAJALENGKA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
23,POS-70CBB06239E4,P1_high_impact,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4DDDEE8520FF,DIST-4C6925305765,10,32,JAWA BARAT,32.10,KAB. MAJALENGKA,32.10.26,MALAUSMA,32.10.26.2001,SUKADANA,45469,45464,45460,all_three_different,SUKADANA,SUKADANA | MALAUSMA | KAB. MAJALENGKA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
24,POS-033C9BA51AED,P1_high_impact,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-5E646EDC0B39,DIST-81B9D0F3B1F2,10,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.27,DAWUAN,32.13.27.2001,MANYETI,41273,41271,41270,all_three_different,MANYETI,MANYETI | DAWUAN | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
25,POS-7A8A1F3BC34A,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-01D3BA12329D,DIST-12672CFB40A6,10,32,JAWA BARAT,32.14,KAB. PURWAKARTA,32.14.14,CIBATU,32.14.14.2002,CILANDAK,41183,41181,41182,all_three_different,CILANDAK,CILANDAK | CIBATU | KAB. PURWAKARTA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
26,POS-4426B20FB2EC,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-E14354C96C26,DIST-F96FCC1F4A8A,9,32,JAWA BARAT,32.07,KAB. CIAMIS,32.07.35,PURWADADI,32.07.35.2001,BANTARDAWA,46286,46385,46380,all_three_different,BANTARDAWA,BANTARDAWA | PURWADADI | KAB. CIAMIS | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
27,POS-0E8CF2998D8A,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-CB7B097CE85B,DIST-E89963DE60B9,9,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.23,KLANGENAN,32.09.23.2001,SERANG,45656,45156,45157,all_three_different,SERANG,SERANG | KLANGENAN | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
28,POS-958BC2CE9C7E,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6B9C9604F547,DIST-4F71F650D858,9,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.30,GEBANG,32.09.30.2001,DOMPYONG KULON,45694,45191,45190,all_three_different,DOMPYONG KULON,DOMPYONG KULON | GEBANG | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
29,POS-8C5255282DF5,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4E539464E72A,DIST-8295F7D34955,9,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.34,KARANGWARENG,32.09.34.2001,SEUSEUPAN,45695,45186,45184,all_three_different,SEUSEUPAN,SEUSEUPAN | KARANGWARENG | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
30,POS-15A7F9A893A8,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-57E06AC9ED95,DIST-9E2AACCAB0EE,9,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.39,SURANENGGALA,32.09.39.2003,MUARA,45659,45152,45150,all_three_different,MUARA,MUARA | SURANENGGALA | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
31,POS-DF2B5FA1C292,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6F8501B032B0,DIST-2E12D41F0B1E,9,32,JAWA BARAT,32.11,KAB. SUMEDANG,32.11.21,TANJUNGMEDAR,32.11.21.2001,CIKARAMAS,45355,45354,45352,all_three_different,CIKARAMAS,CIKARAMAS | TANJUNGMEDAR | KAB. SUMEDANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
32,POS-E40C40C6F89E,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4814AD3632C7,DIST-32F1280A9697,9,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.25,TAMBAKDAHAN,32.13.25.2001,TANJUNGRASA,41265,41253,41267,all_three_different,TANJUNGRASA,TANJUNGRASA | TAMBAKDAHAN | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
33,POS-C66D50B6EB03,P2_medium_impact,9,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-849C5EB973DB,DIST-E3E4E12D73E6,9,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.25,KOTA BARU,32.15.25.2001,WANCIMEKAR,41377,41374,41376,all_three_different,WANCIMEKAR,WANCIMEKAR | KOTA BARU | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
34,POS-8522097BF106,P2_medium_impact,8,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-DBDA30B3128D,DIST-3E8E7D7547F3,8,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.39,SUKARESIK,32.06.39.2001,CIPONDOK,46459,46418,46419,all_three_different,CIPONDOK,CIPONDOK | SUKARESIK | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
35,POS-54D53E54096F,P2_medium_impact,8,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-34635F6F6FA5,DIST-C878B7F58E7E,8,32,JAWA BARAT,32.12,KAB. INDRAMAYU,32.12.19,ARAHAN,32.12.19.2001,ARAHAN KIDUL,45259,45365,45267,all_three_different,ARAHAN KIDUL,ARAHAN KIDUL | ARAHAN | KAB. INDRAMAYU | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
36,POS-2C3419CBE0CF,P2_medium_impact,8,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-ACABCD1112FB,DIST-B99CFB67C03E,8,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.22,CIKAUM,32.13.22.2002,SINDANGSARI,41264,41253,41266,all_three_different,SINDANGSARI,SINDANGSARI | CIKAUM | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
37,POS-B14814BCD1ED,P2_medium_impact,8,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8A1F30298FA1,DIST-B53EBD95DADB,8,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.22,JAYAKERTA,32.15.22.2001,JAYAMAKMUR,41359,41352,41351,all_three_different,JAYAMAKMUR,JAYAMAKMUR | JAYAKERTA | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
38,POS-FC1B155447AB,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-0EF4E779AAAB,DIST-8A341691BE07,10,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.30,CILEBAR,32.15.30.2001,KERTAMUKTI,41387,41353,41350,all_three_different,KERTAMUKTI,KERTAMUKTI | CILEBAR | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
39,POS-86BE43876C7C,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-E65AC6588832,DIST-0FF2E8834337,8,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.29,PURWASARI,32.15.29.2002,TEGALSARI,41376,41373,41377,all_three_different,TEGALSARI,TEGALSARI | PURWASARI | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
40,POS-00F30A5F5236,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A3845057F505,DIST-BFC0AC299E94,7,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.07,PARUNGPONTENG,32.06.07.2001,PARUNGPONTENG,46476,46185,46189,all_three_different,PARUNGPONTENG,PARUNGPONTENG | PARUNGPONTENG | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
41,POS-33EF687D0E10,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-9DFB145C3794,DIST-A30840415F3E,7,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.33,PABUARAN,32.09.33.2001,SUKADANA,45696,45188,45194,all_three_different,SUKADANA,SUKADANA | PABUARAN | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
42,POS-4B5BD74BEC0A,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D1AFA1BAF260,DIST-E0CA4F73B585,7,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.35,TENGAH TANI,32.09.35.2001,PALIR,45642,45153,45168,all_three_different,PALIR,PALIR | TENGAH TANI | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
43,POS-6FDB0BC29975,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-29E9E6BFABF4,DIST-51C7D086161D,7,32,JAWA BARAT,32.12,KAB. INDRAMAYU,32.12.28,KEDOKAN BUNDER,32.12.28.2001,CANGKINGAN,45286,45283,45280,all_three_different,CANGKINGAN,CANGKINGAN | KEDOKAN BUNDER | KAB. INDRAMAYU | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
44,POS-BDE9A4183354,P2_medium_impact,7,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D3C949E0FEE8,DIST-8451640AA2AF,7,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.21,MAJALAYA,32.15.21.2001,MAJALAYA,41388,41371,41370,all_three_different,MAJALAYA,MAJALAYA | MAJALAYA | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
45,POS-86CC2C8D3215,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-2CE814B9BA28,DIST-7A278782B60A,7,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.19,WERU,32.09.19.2001,KARANGSARI,45644,45154,45159,all_three_different,KARANGSARI,KARANGSARI | WERU | KAB. CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
46,POS-25F37D4E7F7E,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-CA41C32A6C23,DIST-90BAF8338DAD,7,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.29,CIATER,32.13.29.2001,CISAAT,41288,41281,41280,all_three_different,CISAAT,CISAAT | CIATER | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
47,POS-6CE7E47B6E8D,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-F71C1B4B6C67,DIST-D25F206106AD,6,32,JAWA BARAT,32.04,KAB. BANDUNG,32.04.34,SOLOKANJERUK,32.04.34.2001,RANCAKASUMBA,40387,40376,40375,all_three_different,RANCAKASUMBA,RANCAKASUMBA | SOLOKANJERUK | KAB. BANDUNG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
48,POS-B97CC4777700,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6F6F8EC7CAD3,DIST-3FD2369E8C01,6,32,JAWA BARAT,32.05,KAB. GARUT,32.05.13,KERSAMANAH,32.05.13.2001,KERSAMANAH,44194,44185,44189,all_three_different,KERSAMANAH,KERSAMANAH | KERSAMANAH | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
49,POS-B10071B15E95,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-60ED5C89D9FB,DIST-7B4B900256F8,6,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.37,KADIPATEN,32.06.37.2001,KADIPATEN,46457,46156,46157,all_three_different,KADIPATEN,KADIPATEN | KADIPATEN | KAB. TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
50,POS-0246633070AC,P2_medium_impact,6,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8478D95BB151,DIST-018E24FFEB33,6,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.23,SERANGPANJANG,32.13.23.2001,CIJENGKOL,41287,41282,41288,all_three_different,CIJENGKOL,CIJENGKOL | SERANGPANJANG | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
51,POS-176896857D46,P2_medium_impact,5,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4043EF335515,DIST-39E7B2C3CA28,8,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.26,KASOMALANG,32.13.26.2001,SINDANGSARI,41289,41283,41287,all_three_different,SINDANGSARI,SINDANGSARI | KASOMALANG | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
