village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot
32.01.03.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SANJA,,,,,16814,16810,16811,16810;16811;16814,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2005;open_data_jabar:32.01.03.2005;kodepos_dev:32.01.03.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:29;open_data_jabar:17380;kodepos_dev:31,2026-08-11
32.01.03.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,KARANG ASEM TIMUR,,,,,16812,16810,16811,16810;16811;16812,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2008;open_data_jabar:32.01.03.2008;kodepos_dev:32.01.03.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:32;open_data_jabar:17382;kodepos_dev:32,2026-08-11
32.01.03.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TARIKOLOT,,,,,16819,16810,16811,16810;16811;16819,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2009;open_data_jabar:32.01.03.2009;kodepos_dev:32.01.03.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:33;open_data_jabar:17383;kodepos_dev:33,2026-08-11
32.01.03.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,GUNUNGSARI,,,,,16819,16810,16811,16810;16811;16819,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2010;open_data_jabar:32.01.03.2010;kodepos_dev:32.01.03.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:34;open_data_jabar:17384;kodepos_dev:34,2026-08-11
32.01.03.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,TANGKIL,,,,,16815,16810,16811,16810;16811;16815,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2011;open_data_jabar:32.01.03.2011;kodepos_dev:32.01.03.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:35;open_data_jabar:17385;kodepos_dev:35,2026-08-11
32.01.03.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,SUKAHATI,,,,,16814,16810,16811,16810;16811;16814,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2012;open_data_jabar:32.01.03.2012;kodepos_dev:32.01.03.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:36;open_data_jabar:17386;kodepos_dev:36,2026-08-11
32.01.03.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,HAMBALANG,,,,,16816,16810,16811,16810;16811;16816,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2013;open_data_jabar:32.01.03.2013;kodepos_dev:32.01.03.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:37;open_data_jabar:17387;kodepos_dev:37,2026-08-11
32.01.03.2014,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,PASIRMUKTI,,,,,16818,16810,16811,16810;16811;16818,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.03.2014;open_data_jabar:32.01.03.2014;kodepos_dev:32.01.03.2014,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:38;open_data_jabar:17388;kodepos_dev:38,2026-08-11
32.01.04.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,GUNUNGGEULIS,,,,,16713,16710,16711,16710;16711;16713,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2001;open_data_jabar:32.01.04.2001;kodepos_dev:32.01.04.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:39;open_data_jabar:17389;kodepos_dev:39,2026-08-11
32.01.04.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT TIMUR,,,,,16718,16710,16711,16710;16711;16718,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2002;open_data_jabar:32.01.04.2002;kodepos_dev:32.01.04.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:40;open_data_jabar:17390;kodepos_dev:40,2026-08-11
32.01.04.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CILEBUT BARAT,,,,,16718,16710,16711,16710;16711;16718,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2003;open_data_jabar:32.01.04.2003;kodepos_dev:32.01.04.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:41;open_data_jabar:17391;kodepos_dev:41,2026-08-11
32.01.04.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIBANON,,,,,16712,16710,16711,16710;16711;16712,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2004;open_data_jabar:32.01.04.2004;kodepos_dev:32.01.04.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:42;open_data_jabar:17393;kodepos_dev:42,2026-08-11
32.01.04.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,NAGRAK,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2005;open_data_jabar:32.01.04.2005;kodepos_dev:32.01.04.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:43;open_data_jabar:17394;kodepos_dev:43,2026-08-11
32.01.04.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKATANI,,,,,16719,16710,16711,16710;16711;16719,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2006;open_data_jabar:32.01.04.2006;kodepos_dev:32.01.04.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:44;open_data_jabar:17395;kodepos_dev:44,2026-08-11
32.01.04.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,SUKARAJA,,,,,16719,38877,16711,16711;16719;38877,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2007;open_data_jabar:32.01.04.2007;kodepos_dev:32.01.04.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:45;open_data_jabar:17396;kodepos_dev:45,2026-08-11
32.01.04.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIKEAS,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2008;open_data_jabar:32.01.04.2008;kodepos_dev:32.01.04.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:46;open_data_jabar:17397;kodepos_dev:46,2026-08-11
32.01.04.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIR JAMBU,,,,,16717,16710,16711,16710;16711;16717,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2009;open_data_jabar:32.01.04.2009;kodepos_dev:32.01.04.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:47;open_data_jabar:17398;kodepos_dev:47,2026-08-11
32.01.04.2010,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIMANDALA,,,,,16716,16710,16711,16710;16711;16716,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2010;open_data_jabar:32.01.04.2010;kodepos_dev:32.01.04.2010,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:48;open_data_jabar:17399;kodepos_dev:48,2026-08-11
32.01.04.2011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CIJUJUNG,,,,,16716,16710,16711,16710;16711;16716,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2011;open_data_jabar:32.01.04.2011;kodepos_dev:32.01.04.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:49;open_data_jabar:17400;kodepos_dev:49,2026-08-11
32.01.04.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,CADASNGAMPAR,,,,,16714,16710,16711,16710;16711;16714,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2012;open_data_jabar:32.01.04.2012;kodepos_dev:32.01.04.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:50;open_data_jabar:17401;kodepos_dev:50,2026-08-11
32.01.04.2013,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,PASIRLAJA,,,,,16715,16710,16711,16710;16711;16715,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.01.04.2013;open_data_jabar:32.01.04.2013;kodepos_dev:32.01.04.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:51;open_data_jabar:17402;kodepos_dev:51,2026-08-11
32.01.05.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,CIJAYANTI,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16864,16810,16810,16810;16864,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2001;open_data_jabar:32.01.05.2001;kodepos_dev:32.01.05.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:52;open_data_jabar:17404;kodepos_dev:52,2026-08-11
32.01.05.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,SUMURBATU,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16866,16810,16810,16810;16866,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2002;open_data_jabar:32.01.05.2002;kodepos_dev:32.01.05.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:53;open_data_jabar:17405;kodepos_dev:53,2026-08-11
32.01.05.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,SENTUL,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16863,16810,16810,16810;16863,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2003;open_data_jabar:32.01.05.2003;kodepos_dev:32.01.05.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:54;open_data_jabar:17406;kodepos_dev:54,2026-08-11
32.01.05.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,KARANGTENGAH,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16867,16810,16810,16810;16867,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2004;open_data_jabar:32.01.05.2004;kodepos_dev:32.01.05.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:55;open_data_jabar:17407;kodepos_dev:55,2026-08-11
32.01.05.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,CIPAMBUAN,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16869,16810,16810,16810;16869,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2005;open_data_jabar:32.01.05.2005;kodepos_dev:32.01.05.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:56;open_data_jabar:17408;kodepos_dev:56,2026-08-11
32.01.05.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,KADUMANGGU,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16868,16810,16810,16810;16868,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2006;open_data_jabar:32.01.05.2006;kodepos_dev:32.01.05.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:57;open_data_jabar:17409;kodepos_dev:57,2026-08-11
32.01.05.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,CITARINGGUL,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16862,16810,16810,16810;16862,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2007;open_data_jabar:32.01.05.2007;kodepos_dev:32.01.05.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:58;open_data_jabar:17410;kodepos_dev:58,2026-08-11
32.01.05.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,BABAKAN MADANG,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16861,16810,16810,16810;16861,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2008;open_data_jabar:32.01.05.2008;kodepos_dev:32.01.05.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:59;open_data_jabar:17411;kodepos_dev:59,2026-08-11
32.01.05.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.05,BABAKAN MADANG,BOJONG KONENG,,16810,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16865,16810,16810,16810;16865,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.05.2009;open_data_jabar:32.01.05.2009;kodepos_dev:32.01.05.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:60;open_data_jabar:17412;kodepos_dev:60,2026-08-11
32.01.06.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SUKAMAJU,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16832,16830,16830,16830;16832,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2001;open_data_jabar:32.01.06.2001;kodepos_dev:32.01.06.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:61;open_data_jabar:17413;kodepos_dev:61,2026-08-11
32.01.06.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SIRNAGALIH,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16839,16830,16830,16830;16839,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2002;open_data_jabar:32.01.06.2002;kodepos_dev:32.01.06.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:62;open_data_jabar:17415;kodepos_dev:62,2026-08-11
32.01.06.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SINGAJAYA,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16834,16830,16830,16830;16834,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2003;open_data_jabar:32.01.06.2003;kodepos_dev:32.01.06.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:63;open_data_jabar:17416;kodepos_dev:63,2026-08-11
32.01.06.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SUKASIRNA,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16837,16830,16830,16830;16837,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2004;open_data_jabar:32.01.06.2004;kodepos_dev:32.01.06.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:64;open_data_jabar:17417;kodepos_dev:64,2026-08-11
32.01.06.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SUKANEGARA,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16836,16830,16830,16830;16836,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2005;open_data_jabar:32.01.06.2005;kodepos_dev:32.01.06.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:65;open_data_jabar:17418;kodepos_dev:65,2026-08-11
32.01.06.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,SUKAMANAH,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16832,16830,16830,16830;16832,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2006;open_data_jabar:32.01.06.2006;kodepos_dev:32.01.06.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:66;open_data_jabar:17419;kodepos_dev:66,2026-08-11
32.01.06.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,WENINGGALIH,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16839,16830,16830,16830;16839,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2007;open_data_jabar:32.01.06.2007;kodepos_dev:32.01.06.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:67;open_data_jabar:17420;kodepos_dev:67,2026-08-11
32.01.06.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,CIBODAS,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16835,16830,16830,16830;16835,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2008;open_data_jabar:32.01.06.2008;kodepos_dev:32.01.06.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:68;open_data_jabar:17421;kodepos_dev:68,2026-08-11
32.01.06.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.06,JONGGOL,JONGGOL,,16830,corroborated_by_two_sources,open_data_jabar_postal_2023;kodepos_dev_rest_api,16839,16830,16830,16830;16839,corroborated_candidate,medium,yes,Kodepos.dev corroborates Open Data Jabar; candidate is not accepted as final.,no,,diskominfo:32.01.06.2009;open_data_jabar:32.01.06.2009;kodepos_dev:32.01.06.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:69;open_data_jabar:17422;kodepos_dev:69,2026-08-11
